backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
mmap,none,64,64,16,50,13107200,13107200,1,0.009292666,0.001764458,1345.1468071702998,7084.328445335622,16,
mmap,none,64,64,16,50,13107200,13107200,2,0.007360417,0.001707916,1698.2733451107458,7318.861114949447,16,
mmap,none,64,64,16,50,13107200,13107200,3,0.00865975,0.001709291,1443.459684171021,7312.973624736806,16,
raw,none,64,64,16,50,13107200,13107200,1,0.004742208,0.000756625,2635.9029380406764,16520.733520568312,16,
raw,none,64,64,16,50,13107200,13107200,2,0.004651416,0.000732416,2687.3537004645464,17066.803565186998,16,
raw,none,64,64,16,50,13107200,13107200,3,0.00515325,0.000714167,2425.6537136758357,17502.90898347305,16,
zarrjl,none,64,64,16,50,13107200,13107385,1,0.043511375,0.010171209,287.281199456464,1228.9591139067145,16,
zarrjl,none,64,64,16,50,13107200,13107385,2,0.042346542,0.009688208,295.18348865416215,1290.2282857676053,16,
zarrjl,none,64,64,16,50,13107200,13107385,3,0.040911167,0.009918334,305.54004973752035,1260.292303122682,16,
zarrsjl,none,64,64,16,50,13107200,13107897,1,0.04610025,0.005917333,271.14820418544366,2112.4381541481607,16,
zarrsjl,none,64,64,16,50,13107200,13107897,2,0.037021792,0.005719375,337.63897760540607,2185.553491421703,16,
zarrsjl,none,64,64,16,50,13107200,13107897,3,0.033166125,0.005874334,376.8905773586755,2127.900796924383,16,
zarrjl,zstd,64,64,16,50,13107200,11250503,1,0.038402375,0.019483417,325.5007014540116,641.5712397881748,16,
zarrjl,zstd,64,64,16,50,13107200,11250503,2,0.03959625,0.018255084,315.6864602077217,684.7407549590021,16,
zarrjl,zstd,64,64,16,50,13107200,11250503,3,0.072554,0.017707959,172.28547013259092,705.897274779098,16,
zarrsjl,zstd,64,64,16,50,13107200,11251110,1,0.053091375,0.015514334,235.44313930464222,805.7065163093691,16,
zarrsjl,zstd,64,64,16,50,13107200,11251110,2,0.05061925,0.015998167,246.94162793798802,781.3395122078673,16,
zarrsjl,zstd,64,64,16,50,13107200,11251110,3,0.050715458,0.016765125,246.47317589047506,745.5953952028393,16,
mmap,none,128,128,16,50,52428800,52428800,1,0.039881125,0.007229,1253.7259167087186,6916.5859731636465,16,
mmap,none,128,128,16,50,52428800,52428800,2,0.04489975,0.007288833,1113.591946503043,6859.808696398998,16,
mmap,none,128,128,16,50,52428800,52428800,3,0.042734292,0.007144208,1170.020553985076,6998.676410317281,16,
raw,none,128,128,16,50,52428800,52428800,1,0.012545333,0.003005167,3985.5458599624258,16638.010466639626,16,
raw,none,128,128,16,50,52428800,52428800,2,0.013910542,0.00317425,3594.39624998077,15751.752382452549,16,
raw,none,128,128,16,50,52428800,52428800,3,0.012689792,0.003003,3940.1749059401445,16650.01665001665,16,
zarrjl,none,128,128,16,50,52428800,52428989,1,0.112230458,0.057094667,445.511859178192,875.7385343888598,16,
zarrjl,none,128,128,16,50,52428800,52428989,2,0.112029959,0.032724459,446.3091877057636,1527.9091397660693,16,
zarrjl,none,128,128,16,50,52428800,52428989,3,0.115713166,0.057526334,432.10294669493356,869.1671539507454,16,
zarrsjl,none,128,128,16,50,52428800,52429501,1,0.057807791,0.020375291,864.9353164178165,2453.952682197275,16,
zarrsjl,none,128,128,16,50,52428800,52429501,2,0.05992475,0.021670125,834.3797846465776,2307.3240232808994,16,
