backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
mmap,none,64,64,16,50,13107200,13107200,1,0.00548675,0.001900875,2278.2157014626146,6575.918984678109,1,1
mmap,none,64,64,16,50,13107200,13107200,2,0.005521625,0.001763542,2263.8263192447876,7088.008110949441,1,1
mmap,none,64,64,16,50,13107200,13107200,3,0.005100375,0.001693709,2450.8001862608144,7380.252451867469,1,1
raw,none,64,64,16,50,13107200,13107200,1,0.002674917,0.000734875,4673.042191589496,17009.695526450076,1,1
raw,none,64,64,16,50,13107200,13107200,2,0.002712,0.000878667,4609.144542772861,14226.094754895768,1,1
raw,none,64,64,16,50,13107200,13107200,3,0.002823459,0.000663208,4427.193736477137,18847.782294544097,1,1
zarrjl_baseline,none,64,64,16,50,13107200,13107385,1,0.034690084,0.012972,360.33351778565884,963.6139377119952,1,1
zarrjl_baseline,none,64,64,16,50,13107200,13107385,2,0.035133,0.008622208,355.79085190561585,1449.744659372634,1,1
zarrjl_baseline,none,64,64,16,50,13107200,13107385,3,0.039457208,0.008373709,316.79889768176196,1492.767422416996,1,1
zarrsjl,none,64,64,16,50,13107200,13107897,1,0.036216541,0.006197458,345.14615849150255,2016.9559842115912,1,1
zarrsjl,none,64,64,16,50,13107200,13107897,2,0.026221292,0.005518625,476.7118264042824,2265.0569661826994,1,1
zarrsjl,none,64,64,16,50,13107200,13107897,3,0.026489542,0.004906083,471.88433835511387,2547.8574251597456,1,1
mmap,none,128,128,16,50,52428800,52428800,1,0.033511917,0.00759925,1492.0065599350821,6579.596670724084,1,1
mmap,none,128,128,16,50,52428800,52428800,2,0.034689667,0.007319792,1441.3513972330722,6830.795191994526,1,1
mmap,none,128,128,16,50,52428800,52428800,3,0.041920041,0.007288792,1192.7469250328263,6859.84728333584,1,1
raw,none,128,128,16,50,52428800,52428800,1,0.008142375,0.003303542,6140.714472128832,15135.2699617562,1,1
raw,none,128,128,16,50,52428800,52428800,2,0.00793725,0.003073292,6299.411005071026,16269.199282072774,1,1
raw,none,128,128,16,50,52428800,52428800,3,0.008123291,0.0032485,6155.140816696091,15391.719255040787,1,1
zarrjl_baseline,none,128,128,16,50,52428800,52428989,1,0.114504375,0.027488292,436.66453792704425,1818.956230528983,1,1
zarrjl_baseline,none,128,128,16,50,52428800,52428989,2,0.109018875,0.026780834,458.6361765336507,1867.0068303324683,1,1
zarrjl_baseline,none,128,128,16,50,52428800,52428989,3,0.111026584,0.124996583,450.34259542741586,400.01093469891094,1,1
zarrsjl,none,128,128,16,50,52428800,52429501,1,0.064636458,0.109917792,773.5572391667873,454.88541108977154,1,1
zarrsjl,none,128,128,16,50,52428800,52429501,2,0.055516625,0.017655666,900.6311172554167,2831.952077027284,1,1
zarrsjl,none,128,128,16,50,52428800,52429501,3,0.059115792,0.022456208,845.7976846525206,2226.555792500675,1,1
mmap,none,128,128,32,50,104857600,104857600,1,0.088377875,0.015264375,1131.504915681668,6551.20173606846,1,1
mmap,none,128,128,32,50,104857600,104857600,2,0.072256333,0.015391541,1383.9617352294918,6497.07524412273,1,1
mmap,none,128,128,32,50,104857600,104857600,3,0.073477375,0.015113959,1360.9631536238196,6616.400110652676,1,1
raw,none,128,128,32,50,104857600,104857600,1,0.014702333,0.007423125,6801.6416170141165,13471.415340574218,1,1
raw,none,128,128,32,50,104857600,104857600,2,0.014741959,0.007934625,6783.358982344205,12602.99005939159,1,1
raw,none,128,128,32,50,104857600,104857600,3,0.014986708,0.0072325,6672.5794617470365,13826.4777048047,1,1
zarrjl_baseline,none,128,128,32,50,104857600,104857789,1,0.224263,0.144782333,445.90503114646646,690.6920059093121,1,1
zarrjl_baseline,none,128,128,32,50,104857600,104857789,2,0.214144417,0.051461875,466.97458379220785,1943.1860965034796,1,1
zarrjl_baseline,none,128,128,32,50,104857600,104857789,3,0.211613666,0.15940025,472.5592722352818,627.3515882189646,1,1
zarrsjl,none,128,128,32,50,104857600,104858301,1,0.082123208,0.042412,1217.6825824923935,2357.823257568613,1,1
zarrsjl,none,128,128,32,50,104857600,104858301,2,0.08287175,0.036324417,1206.6838216883318,2752.969166717803,1,1
zarrsjl,none,128,128,32,50,104857600,104858301,3,0.07956675,0.034339041,1256.8063921173102,2912.1372376124305,1,1
mmap,none,256,256,16,50,209715200,209715200,1,0.101152584,0.030652666,1977.2109825686707,6524.717947861371,1,1
mmap,none,256,256,16,50,209715200,209715200,2,0.125898083,0.031342125,1588.5865394789214,6381.188257018311,1,1
mmap,none,256,256,16,50,209715200,209715200,3,0.180896792,0.031981042,1105.6028014029127,6253.70492931406,1,1
raw,none,256,256,16,50,209715200,209715200,1,0.028698917,0.017216542,6968.90408791384,11616.734649733959,1,1
raw,none,256,256,16,50,209715200,209715200,2,0.028450833,0.018853709,7029.671152334978,10607.992305386702,1,1
raw,none,256,256,16,50,209715200,209715200,3,0.036005,0.019194875,5554.784057769753,10419.447899504425,1,1
zarrjl_baseline,none,256,256,16,50,209715200,209715389,1,0.393924209,0.206945334,507.7118781496366,966.4387987602562,1,1
zarrjl_baseline,none,256,256,16,50,209715200,209715389,2,0.390764375,0.201722125,511.8173835575467,991.462884896736,1,1
zarrjl_baseline,none,256,256,16,50,209715200,209715389,3,0.394421541,0.197359666,507.0716966749035,1013.3782857131508,1,1
zarrsjl,none,256,256,16,50,209715200,209715901,1,0.140543459,0.082627875,1423.0473721299259,2420.490663713668,1,1
zarrsjl,none,256,256,16,50,209715200,209715901,2,0.130839166,0.17250925,1528.5942742863401,1159.3581213761001,1,1
zarrsjl,none,256,256,16,50,209715200,209715901,3,0.141759917,0.080604041,1410.8360404866771,2481.265176270753,1,1
mmap,none,256,256,32,50,419430400,419430400,1,0.26438675,0.062171083,1512.9351225051937,6433.85929114344,1,1
mmap,none,256,256,32,50,419430400,419430400,2,0.360100208,0.065482709,1110.8019132274426,6108.482775201008,1,1
mmap,none,256,256,32,50,419430400,419430400,3,0.334624333,0.062575209,1195.370331899922,6392.307854696897,1,1
raw,none,256,256,32,50,419430400,419430400,1,0.073185417,0.040800708,5465.569732286966,9803.751444705324,1,1
raw,none,256,256,32,50,419430400,419430400,2,0.077326708,0.041483125,5172.856964245782,9642.475102827957,1,1
raw,none,256,256,32,50,419430400,419430400,3,0.057401709,0.042738042,6968.433640190051,9359.343135092618,1,1
zarrjl_baseline,none,256,256,32,50,419430400,419430589,1,0.874594333,0.304646708,457.35489575828296,1312.9962986503042,1,1
zarrjl_baseline,none,256,256,32,50,419430400,419430589,2,0.783414875,0.304471125,510.58514813112276,1313.7534799071668,1,1
zarrjl_baseline,none,256,256,32,50,419430400,419430589,3,0.864834667,0.303313917,462.51614934395315,1318.7657327309516,1,1
zarrsjl,none,256,256,32,50,419430400,419431101,1,0.441561917,0.163247083,905.8752229305137,2450.2734912574215,1,1
zarrsjl,none,256,256,32,50,419430400,419431101,2,0.361357708,0.15572175,1106.9363988770926,2568.684207568949,1,1
zarrsjl,none,256,256,32,50,419430400,419431101,3,0.259663541,0.258039333,1540.454999802995,1550.151270930467,1,1
mmap,none,256,256,64,50,838860800,838860800,1,0.444135667,0.131908292,1801.2514180717667,6064.819639996551,1,1
mmap,none,256,256,64,50,838860800,838860800,2,0.512552208,0.130321084,1560.8166105100458,6138.684359009782,1,1
mmap,none,256,256,64,50,838860800,838860800,3,0.461404125,0.130682416,1733.8379885528766,6121.711126001834,1,1
raw,none,256,256,64,50,838860800,838860800,1,0.123290708,0.100395208,6488.729061398528,7968.507819616251,1,1
raw,none,256,256,64,50,838860800,838860800,2,0.11290775,0.095138334,7085.430362397621,8408.808167694002,1,1
raw,none,256,256,64,50,838860800,838860800,3,0.110652625,0.093036416,7229.833002154264,8598.783512898863,1,1
zarrjl_baseline,none,256,256,64,50,838860800,838860989,1,1.6883815,0.637760834,473.8265611178516,1254.3887259153953,1,1
zarrjl_baseline,none,256,256,64,50,838860800,838860989,2,1.607594083,0.65805275,497.6380595449106,1215.7080112498581,1,1
