backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
zarrjl,zstd,256,256,32,30,251658240,135777265,1,1.534151459,0.476343791,156.43826989314226,503.8377838328956,1,1
zarrjl,zstd,256,256,32,30,251658240,135777265,2,1.524183041,0.471924459,157.461402957573,508.5559678524736,1,1
zarrjl,zstd,256,256,32,30,251658240,135777265,3,1.442088334,0.483082625,166.42531136376283,496.8094226117116,1,1
zarrsjl,zstd,256,256,32,30,251658240,135777872,1,1.462532458,0.452400417,164.0989221724336,530.5034897878974,1,1
zarrsjl,zstd,256,256,32,30,251658240,135777872,2,1.489770625,0.391358042,161.09862550149288,613.2491842342158,1,1
zarrsjl,zstd,256,256,32,30,251658240,135777872,3,1.485588625,0.450731542,161.55212550850004,532.4677277633257,1,1
zarrjl,zstd,256,256,32,30,251658240,135777265,1,1.478583041,0.453799667,162.31756576734603,528.8677305265629,2,2
zarrjl,zstd,256,256,32,30,251658240,135777265,2,1.485626833,0.430313292,161.5479706403499,557.7331782723551,2,2
zarrjl,zstd,256,256,32,30,251658240,135777265,3,1.486423667,0.431511208,161.46136887364295,556.1848581230827,2,2
zarrsjl,zstd,256,256,32,30,251658240,135777872,1,1.460728708,0.427311916,164.30155626132873,561.6506140212574,2,2
zarrsjl,zstd,256,256,32,30,251658240,135777872,2,1.496054875,0.446215333,160.4219230260521,537.8569095473015,2,2
zarrsjl,zstd,256,256,32,30,251658240,135777872,3,1.486740459,0.394072,161.42696497371637,609.0257617897238,2,2
zarrjl,zstd,256,256,32,30,251658240,135777265,1,1.531585458,0.42632625,156.70036480589255,562.9491498588229,4,4
zarrjl,zstd,256,256,32,30,251658240,135777265,2,1.475410791,0.422504,162.66656138344592,568.0419593660652,4,4
zarrjl,zstd,256,256,32,30,251658240,135777265,3,1.445298875,0.442058208,166.05561946486674,542.9149276196677,4,4
zarrsjl,zstd,256,256,32,30,251658240,135777872,1,1.640464875,0.441762041,146.2999931650472,543.27890974227,4,4
zarrsjl,zstd,256,256,32,30,251658240,135777872,2,1.655545709,0.444259584,144.96730515822924,540.2246989003619,4,4
zarrsjl,zstd,256,256,32,30,251658240,135777872,3,1.638983333,0.457748334,146.43223952784393,524.3055674343536,4,4
zarrjl,zstd,256,256,32,30,251658240,135777265,1,1.650256291,0.448449708,145.43195581734037,535.1770682834294,8,8
zarrjl,zstd,256,256,32,30,251658240,135777265,2,1.643056208,0.451681208,146.06925729713078,531.3482069858438,8,8
