backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
propA_v3,none,256,256,32,50,419430400,419430733,1,0.495705208,0.42122275,806.9312033534253,949.616325329057,1,1
propA_v3,none,256,256,32,50,419430400,419430733,2,0.443573959,0.417257042,901.7661922755028,958.6416998086278,1,1
propA_v3,none,256,256,32,50,419430400,419430733,3,0.471511542,0.440786375,848.3355429717137,907.4690659392546,1,1
propA_v3,none,512,512,64,20,1342177280,1342177613,1,1.461766,1.177669042,875.6531483151202,1086.8927978493978,1,1
propA_v3,none,512,512,64,20,1342177280,1342177613,2,1.447154958,1.2281005,884.4940847032636,1042.259977908974,1,1
propA_v3,none,512,512,64,20,1342177280,1342177613,3,1.479484958,1.186117125,865.1659437824443,1079.1514370893178,1,1
v3_bytes,none,256,256,32,50,419430400,419430733,1,0.326299333,0.378154792,1225.8682735339823,1057.7678994479065,1,1
v3_bytes,none,256,256,32,50,419430400,419430733,2,0.333262708,0.283557459,1200.2543050811432,1410.648837842774,1,1
v3_bytes,none,256,256,32,50,419430400,419430733,3,0.415200625,0.295813042,963.3896866123456,1352.2054243977518,1,1
v3_bytes,none,512,512,64,20,1342177280,1342177613,1,1.126794584,0.797807417,1135.9657014467866,1604.3972175806432,1,1
v3_bytes,none,512,512,64,20,1342177280,1342177613,2,1.096771084,0.901411458,1167.0621323565092,1419.99526258518,1,1
v3_bytes,none,512,512,64,20,1342177280,1342177613,3,0.979828708,0.908954458,1306.3507831003458,1408.2113671750099,1,1
v3_fullchunk,none,256,256,32,50,419430400,419430733,1,0.130666875,0.395769708,3061.2196090248585,1010.6887715620721,1,1
v3_fullchunk,none,256,256,32,50,419430400,419430733,2,0.13467875,0.297783417,2970.030535626444,1343.2581438878444,1,1
v3_fullchunk,none,256,256,32,50,419430400,419430733,3,0.15053375,0.284523542,2657.2114226876033,1405.859062446228,1,1
v3_fullchunk,none,512,512,64,20,1342177280,1342177613,1,0.440417375,0.841365041,2906.3340200871958,1521.3372764794967,1,1
v3_fullchunk,none,512,512,64,20,1342177280,1342177613,2,0.412176667,0.89858175,3105.464482782088,1424.4669447159372,1,1
v3_fullchunk,none,512,512,64,20,1342177280,1342177613,3,0.332430834,0.870152666,3850.425018035481,1471.0062383466857,1,1
