backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
zarrjl_optimized_v3,none,64,64,16,50,13107200,13107529,1,0.030884125,0.014328792,404.73868047095397,872.3694223490717,1,1
zarrjl_optimized_v3,none,64,64,16,50,13107200,13107529,2,0.032734791,0.010431541,381.8567224088891,1198.28892011257,1,1
zarrjl_optimized_v3,none,64,64,16,50,13107200,13107529,3,0.038043292,0.011832833,328.573037265019,1056.3826938147442,1,1
zarrsjl,none,64,64,16,50,13107200,13107897,1,0.034803334,0.007208375,359.1609930244039,1734.094022577904,1,1
zarrsjl,none,64,64,16,50,13107200,13107897,2,0.034702209,0.006310541,360.20761675431095,1980.812738559182,1,1
zarrsjl,none,64,64,16,50,13107200,13107897,3,0.031017292,0.006651667,403.0010098882907,1879.2281694197861,1,1
zarrjl_optimized_v3,none,128,128,16,50,52428800,52429133,1,0.033568959,0.114829625,1489.4712701695635,435.42770430540025,1,1
zarrjl_optimized_v3,none,128,128,16,50,52428800,52429133,2,0.031348042,0.029000542,1594.9959490292886,1724.1057080933176,1,1
zarrjl_optimized_v3,none,128,128,16,50,52428800,52429133,3,0.034090541,0.033124625,1466.6825029265449,1509.4510503892498,1,1
zarrsjl,none,128,128,16,50,52428800,52429501,1,0.053708084,0.019749709,930.9585499270463,2531.68287188434,1,1
zarrsjl,none,128,128,16,50,52428800,52429501,2,0.053961875,0.023073709,926.5801086415178,2166.96847481261,1,1
zarrsjl,none,128,128,16,50,52428800,52429501,3,0.050193333,0.020680875,996.1482334715648,2417.692674995618,1,1
zarrjl_optimized_v3,none,128,128,32,50,104857600,104857933,1,0.042900084,0.062178583,2330.9977668108995,1608.2708092591945,1,1
zarrjl_optimized_v3,none,128,128,32,50,104857600,104857933,2,0.048641,0.05663575,2055.878785386814,1765.669210701721,1,1
zarrjl_optimized_v3,none,128,128,32,50,104857600,104857933,3,0.041724208,0.144122916,2396.6901900211024,693.8521837845691,1,1
zarrsjl,none,128,128,32,50,104857600,104858301,1,0.081784417,0.06205325,1222.7268184842596,1611.5191388041724,1,1
zarrsjl,none,128,128,32,50,104857600,104858301,2,0.094916042,0.047125166,1053.5626843774205,2122.0084402461307,1,1
zarrsjl,none,128,128,32,50,104857600,104858301,3,0.087316208,0.046068667,1145.2627443463875,2170.672748139207,1,1
zarrjl_optimized_v3,none,256,256,16,50,209715200,209715533,1,0.067240833,0.192787333,2974.383140077994,1037.4125565604459,1,1
